Designator,Mid X,Mid Y,Layer,Rotation
C2,106.4008,-66.7768,T,90
C3,106.4008,-64.7956,T,-90
C4,118.8976,-63.104685,T,90
C5,112.2428,-63.7796,T,90
C6,118.4912,-86.284,T,90
C7,121.0312,-86.284,T,90
C8,115.9768,-86.284,T,90
C9,114.5288,-86.284,T,90
C10,128.6004,-86.284,T,90
C11,131.1912,-86.284,T,90
C12,126.1112,-86.284,T,90
C13,123.5712,-86.284,T,90
C14,112.5476,-57.8868,T,-90
C15,109.0424,-53.6704,T,0
C16,104.572,-55.7024,T,180
C17,104.7752,-53.4164,T,180
C18,152.4764,-68.8466,T,-90
C19,163.2968,-72.2124,T,90
D1,159.3344,-54.3308,T,180
D2,159.2836,-56.2104,T,180
J2,151.5,-93.06,T,-90
L1,109.1948,-60.5284,T,0
L2,104.9276,-58.8012,T,-90
Q1,163.2968,-52.8576,T,0
Q2,163.1952,-57.7852,T,0
R3,125.364,-60.3768,T,90
R4,124.264,-60.3768,T,90
R5,123.164,-60.3768,T,90
R6,122.064,-60.3768,T,90
R7,120.32,-76.82794,T,180
R8,120.32,-70.3836,T,180
R9,108.4468,-76.82794,T,0
R10,108.4272,-70.3836,T,0
R11,120.32,-78.439025,T,0
R12,120.32,-71.994685,T,0
R13,108.4468,-78.439025,T,180
R14,108.4272,-71.994685,T,180
R15,120.32,-81.6612,T,0
R16,120.32,-75.216855,T,0
R17,108.4468,-81.6612,T,180
R18,108.4272,-75.216855,T,180
R19,120.32,-80.05011,T,180
R20,120.32,-73.60577,T,180
R21,108.4468,-80.05011,T,0
R22,108.4272,-73.60577,T,0
R23,119.558,-86.284,T,-90
R24,122.098,-86.284,T,-90
R25,117.0436,-86.284,T,-90
R26,113.4112,-86.284,T,-90
R27,138.5064,-76.82794,T,180
R28,138.5064,-70.3836,T,180
R29,126.2636,-76.82794,T,0
R30,126.2636,-70.3836,T,0
R31,138.5064,-78.439025,T,0
R32,138.5064,-71.994685,T,0
R33,126.2636,-78.439025,T,180
R34,126.2636,-71.994685,T,180
R35,138.5064,-81.6612,T,0
R36,138.5064,-75.216855,T,0
R37,126.2636,-81.6612,T,180
R38,126.2636,-75.216855,T,180
R39,138.5064,-80.05011,T,180
R40,138.5064,-73.60577,T,180
R41,126.2636,-80.05011,T,0
R42,126.2636,-73.60577,T,0
R43,129.6672,-86.284,T,-90
R44,132.2072,-86.284,T,-90
R45,127.178,-86.284,T,-90
R46,124.638,-86.284,T,-90
R47,162.6364,-54.3308,T,0
R48,162.5348,-56.2104,T,0
R49,150.8,-64.1222,T,90
R50,150.8,-68.8466,T,-90
R51,163.2968,-64.1352,T,90
R52,163.2968,-67.3356,T,-90
U2,109.2456,-56.7692,T,180
U3,123.464,-64.5768,T,0
U4,114.4272,-75.9716,T,0
U5,132.4272,-75.9716,T,0
U6,109.1948,-65.2387,T,0
U7,146.2788,-66.4941,T,-90
U8,158.8624,-66.4941,T,-90
J1,108.37,-48.78,B,-90
